,Brand,Model_Type,Fuel_Type,Transmission,Owner_Type,Location,Age,Kilometers_Driven,Mileage_Converted,Engine,Power,Seats,Price
0,Maruti,Hatchback,CNG,Manual,First,Mumbai,9,72000,19.0,998,58.16,5,1.75
1,Hyundai,SUV/MUV/MPV,Diesel,Manual,First,Pune,4,41000,19.67,1582,126.2,5,12.5
2,Honda,Hatchback,Petrol,Manual,First,Chennai,8,46000,18.2,1199,88.7,5,4.5
3,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Chennai,7,87000,20.77,1248,88.76,7,6.0
4,Audi,Sedan,Diesel,Automatic,Second,Coimbatore,6,40670,15.2,1968,140.8,5,17.74
5,Hyundai,Hatchback,LPG,Manual,First,Hyderabad,7,75000,11.11,814,55.2,5,2.35
6,Nissan,Hatchback,Diesel,Manual,First,Jaipur,6,86999,23.08,1461,63.1,5,3.5
7,Toyota,SUV/MUV/MPV,Diesel,Automatic,First,Mumbai,3,36000,11.36,2755,171.5,8,17.5
8,Volkswagen,Sedan,Diesel,Manual,First,Pune,6,64430,20.54,1598,103.6,5,5.2
9,Tata,Hatchback,Diesel,Manual,Second,Chennai,7,65932,22.3,1248,74.0,5,1.95
10,Maruti,Sedan,Petrol,Manual,First,Kochi,1,25692,21.56,1462,103.25,5,9.95
11,Honda,Sedan,Petrol,Automatic,First,Kolkata,7,60000,16.8,1497,116.3,5,4.49
12,Maruti,Hatchback,Diesel,Manual,First,Jaipur,4,64424,25.2,1248,74.0,5,5.6
13,Land,SUV/MUV/MPV,Diesel,Automatic,First,Delhi,5,72000,12.7,2179,187.7,5,27.0
14,Mitsubishi,SUV/MUV/MPV,Diesel,Manual,First,Delhi,5,110000,13.5,2477,175.56,7,15.0
15,Honda,Sedan,Diesel,Manual,First,Kochi,3,58950,25.8,1498,98.6,5,5.4
16,Maruti,Hatchback,Diesel,Manual,First,Jaipur,2,25000,28.4,1248,74.0,5,5.99
17,Renault,SUV/MUV/MPV,Diesel,Manual,First,Kochi,5,77469,20.45,1461,83.8,5,6.34
18,Mercedes-Benz,Sedan,Diesel,Automatic,First,Bangalore,5,78500,14.84,2143,167.62,5,28.0
19,BMW,Sedan,Diesel,Automatic,First,Kochi,5,32982,22.69,1995,190.0,5,18.55
20,Maruti,SUV/MUV/MPV,Diesel,Manual,Second,Bangalore,4,55392,23.65,1248,88.5,5,8.25
21,Audi,Sedan,Petrol,Automatic,First,Mumbai,4,55985,13.53,1984,177.01,5,23.5
22,Hyundai,Hatchback,Petrol,Manual,First,Kolkata,9,45807,18.5,1197,80.0,5,1.87
23,Volkswagen,Sedan,Petrol,Automatic,First,Kolkata,9,33000,14.4,1598,103.6,5,2.85
24,Honda,Sedan,Petrol,Manual,First,Mumbai,7,51920,16.8,1497,116.3,5,4.25
25,Nissan,Hatchback,Diesel,Manual,First,Hyderabad,7,54000,23.08,1461,63.1,5,4.25
26,Maruti,Hatchback,Petrol,Manual,Second,Hyderabad,6,54000,20.92,998,67.1,5,2.75
27,Honda,Hatchback,Petrol,Manual,First,Kochi,1,37430,17.5,1199,88.7,5,9.9
28,Toyota,SUV/MUV/MPV,Diesel,Manual,Fourth & Above,Mumbai,12,262000,12.8,2494,102.0,7,4.0
29,Renault,SUV/MUV/MPV,Diesel,Manual,First,Bangalore,6,62000,19.01,1461,108.45,5,7.75
30,Toyota,Sedan,Petrol,Manual,First,Delhi,7,87615,14.53,1798,138.1,5,6.75
31,Mahindra,SUV/MUV/MPV,Diesel,Automatic,Second,Bangalore,6,72000,11.18,2696,184.0,7,12.5
32,Audi,Sedan,Diesel,Automatic,First,Kolkata,9,35000,12.4,2698,179.5,5,11.5
33,Volkswagen,Sedan,Petrol,Manual,Second,Coimbatore,5,55431,16.09,1598,103.5,5,6.98
34,Maruti,Hatchback,Petrol,Manual,Second,Jaipur,10,83816,14.0,1061,64.0,5,1.85
35,Maruti,SUV/MUV/MPV,Diesel,Manual,First,Kochi,1,50075,24.3,1248,88.5,5,8.63
36,Mahindra,SUV/MUV/MPV,Petrol,Manual,First,Delhi,2,52000,18.15,1198,82.0,5,4.85
37,Mercedes-Benz,SUV/MUV/MPV,Diesel,Automatic,First,Pune,6,85000,11.74,2987,254.8,5,28.0
38,Volkswagen,Hatchback,Diesel,Manual,First,Chennai,6,62000,22.07,1199,73.9,5,5.0
39,Maruti,Hatchback,Petrol,Manual,Second,Delhi,11,90000,19.7,796,46.3,5,1.25
40,Tata,Hatchback,Petrol,Manual,First,Kochi,5,19698,25.4,624,37.5,4,1.53
41,Mahindra,SUV/MUV/MPV,Diesel,Manual,First,Coimbatore,2,22033,25.32,1198,77.0,6,5.58
42,Hyundai,Hatchback,Petrol,Manual,First,Kochi,5,35487,18.5,1197,82.9,5,4.74
43,Hyundai,Sedan,Petrol,Automatic,First,Bangalore,5,46374,14.62,1999,149.92,5,8.85
44,Toyota,Sedan,Petrol,Automatic,First,Mumbai,3,52001,14.28,1798,138.03,5,10.11
45,Hyundai,Sedan,Diesel,Manual,Second,Ahmedabad,11,58005,14.9,1991,112.2,5,4.25
46,Toyota,SUV/MUV/MPV,Petrol,Manual,First,Bangalore,7,70704,11.25,2694,163.7,7,10.95
47,Hyundai,Sedan,Diesel,Manual,First,Jaipur,5,75000,24.4,1120,71.0,5,3.85
48,Mahindra,SUV/MUV/MPV,Diesel,Manual,Second,Jaipur,7,75800,16.55,2498,105.0,6,5.5
49,Audi,Sedan,Diesel,Automatic,First,Kochi,4,13648,17.11,1968,174.33,5,21.43
50,Maruti,Hatchback,Diesel,Manual,First,Delhi,5,52000,22.9,1248,74.0,5,4.25
51,Maruti,Hatchback,Diesel,Manual,First,Kolkata,5,53000,17.8,1248,75.0,5,3.3
52,Maruti,Hatchback,Diesel,Manual,First,Delhi,6,65650,28.4,1248,74.0,5,3.85
53,Hyundai,Hatchback,Petrol,Manual,Third,Chennai,4,54000,18.9,1197,82.0,5,3.6
54,Volkswagen,Sedan,Petrol,Manual,First,Kolkata,4,39000,15.04,1598,103.2,5,3.99
55,Renault,Hatchback,Petrol,Manual,First,Kochi,2,16542,25.17,799,53.3,5,3.3
56,Hyundai,Hatchback,Petrol,Manual,First,Kolkata,9,32000,20.36,1197,78.9,5,2.07
57,Nissan,SUV/MUV/MPV,Diesel,Automatic,First,Hyderabad,9,121812,13.29,1995,147.6,5,7.75
