,Owner_Type,Age,Brand_Audi,Brand_BMW,Brand_Bentley,Brand_Chevrolet,Brand_Datsun,Brand_Fiat,Brand_Force,Brand_Ford,Brand_Honda,Brand_Hyundai,Brand_ISUZU,Brand_Jaguar,Brand_Jeep,Brand_Lamborghini,Brand_Land,Brand_Mahindra,Brand_Maruti,Brand_Mercedes-Benz,Brand_Mini,Brand_Mitsubishi,Brand_Nissan,Brand_Porsche,Brand_Renault,Brand_Skoda,Brand_Tata,Brand_Toyota,Brand_Volkswagen,Brand_Volvo,Model_Type_Hatchback,Model_Type_SUV/MUV/MPV,Model_Type_Sedan,Location_Bangalore,Location_Chennai,Location_Coimbatore,Location_Delhi,Location_Hyderabad,Location_Jaipur,Location_Kochi,Location_Kolkata,Location_Mumbai,Location_Pune,Fuel_Type_Diesel,Fuel_Type_LPG,Fuel_Type_Petrol,Transmission_Manual,LOG_Kilometers_Driven,LOG_Mileage_Converted,LOG_Engine,LOG_Power,LOG_Seats,LOG_Price
0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,11.184421397998193,2.9444389791664403,6.905753276311464,4.063197833225264,1.6094379124341003,0.5596157879354227
1,3,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,10.621327345686446,2.979094632400968,7.366445148327599,4.837867950107113,1.6094379124341003,2.5257286443082556
2,3,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10.736396675471232,2.9014215940827497,7.089243155027514,4.485259889315534,1.6094379124341003,1.5040773967762742
3,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11.37366339763672,3.033509637888021,7.129297548929373,4.485936098064394,1.9459101490553132,1.791759469228055
4,2,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10.61324599890127,2.7212954278522306,7.584773077612199,4.9473404437239425,1.6094379124341003,2.8758219768814333
5,3,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,11.225243392518447,2.4078456036515385,6.70196036600254,4.01096295328305,1.6094379124341003,0.8544153281560676
6,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,11.373651903317787,3.138966441639899,7.2868764117507,4.144720769547168,1.6094379124341003,1.252762968495368
7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,10.491274217438248,2.4300984132930052,7.9211727215870145,5.144583266605995,2.0794415416798357,2.8622008809294686
8,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11.073334642132687,3.0223742045004123,7.37650812632622,4.640537329825382,1.6094379124341003,1.6486586255873816
9,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11.096379186851246,3.104586678466073,7.129297548929373,4.30406509320417,1.6094379124341003,0.6678293725756554
10,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10.153934938377683,3.070839746040796,7.2875606403097235,4.637153231841142,1.6094379124341003,2.2975725511705014
11,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,11.002099841204238,2.8213788864092133,7.311218384419629,4.7561730595246186,1.6094379124341003,1.501852701754163
12,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,11.07324151347538,3.2268439945173775,7.129297548929373,4.30406509320417,1.6094379124341003,1.7227665977411035
13,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,11.184421397998193,2.5416019934645457,7.68662133494462,5.234844943592463,1.6094379124341003,3.295836866004329
14,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11.608235644774552,2.6026896854443837,7.814803429489359,5.167980864820033,1.9459101490553132,2.70805020110221
15,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.984444905965518,3.250374491927572,7.311886164077165,4.591071261608589,1.6094379124341003,1.6863989535702288
16,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,10.126631103850338,3.3463891451671604,7.129297548929373,4.30406509320417,1.6094379124341003,1.7900914121273581
17,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,11.257633135320098,3.017982882488811,7.2868764117507,4.428433007488037,1.6094379124341003,1.8468787684491346
18,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.2708539037705,2.6973262377392344,7.669961995473577,5.1216995126707605,1.6094379124341003,3.332204510175204
19,3,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,10.403717237088715,3.1219242987917504,7.598399329323964,5.247024072160486,1.6094379124341003,2.920469789053444
20,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,10.922190457975935,3.1633631149379418,7.129297548929373,4.483002552013883,1.6094379124341003,2.1102132003465894
21,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.932839076694297,2.604909442182697,7.592870287844818,5.176206228153065,1.6094379124341003,3.1570004211501135
22,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10.73219219685162,2.917770732084279,7.087573705557973,4.382026634673881,1.6094379124341003,0.6259384308664954
23,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10.404262840448617,2.667228206581955,7.37650812632622,4.640537329825382,1.6094379124341003,1.0473189942805592
24,3,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,10.857459351377972,2.8213788864092133,7.311218384419629,4.7561730595246186,1.6094379124341003,1.4469189829363254
25,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,10.896739325546411,3.138966441639899,7.2868764117507,4.144720769547168,1.6094379124341003,1.4469189829363254
26,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10.896739325546411,3.040705639196722,6.905753276311464,4.206184043977636,1.6094379124341003,1.0116009116784799
27,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10.530227800898475,2.8622008809294686,7.089243155027514,4.485259889315534,1.6094379124341003,2.2925347571405443
28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,12.476099782743233,2.5494451709255714,7.821643126239982,4.624972813284271,1.9459101490553132,1.3862943611198906
29,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11.03488966402723,2.944965156500338,7.2868764117507,4.6862892372728835,1.6094379124341003,2.0476928433652555
30,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,11.38070749514252,2.6762154775821916,7.494430215031565,4.9279780604152466,1.6094379124341003,1.9095425048844386
31,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,11.184421397998193,2.414126467726953,7.899524472032198,5.214935757608986,1.9459101490553132,2.5257286443082556
32,3,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,10.46310334047155,2.517696472610991,7.900266036767701,5.190175207928333,1.6094379124341003,2.4423470353692043
33,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,10.922894283023263,2.7781979610042917,7.37650812632622,4.639571612705423,1.6094379124341003,1.9430489167742813
34,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,11.3363791990328,2.6390573296152584,6.966967138613983,4.1588830833596715,1.6094379124341003,0.6151856390902335
35,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,10.821277160534018,3.190476350346503,7.129297548929373,4.483002552013883,1.6094379124341003,2.155244505095337
36,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,10.858998997563564,2.8986705607108596,7.088408778675395,4.406719247264253,1.6094379124341003,1.5789787049493917
37,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,11.350406535472453,2.4630018143999504,8.00202481821611,5.540478923698008,1.6094379124341003,3.332204510175204
38,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,11.03488966402723,3.094219220268645,7.089243155027514,4.302712827954156,1.6094379124341003,1.6094379124341003
39,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,11.407564949312402,2.9806186357439426,6.679599185844383,3.835141961092188,1.6094379124341003,0.22314355131420976
40,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9.888272386729648,3.2347491740244907,6.436150368369428,3.624340932976365,1.3862943611198906,0.4252677354043441
41,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,10.000296608464188,3.2315945972759756,7.088408778675395,4.343805421853684,1.791759469228055,1.7191887763932197
42,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,10.476921711213846,2.917770732084279,7.087573705557973,4.417635062141249,1.6094379124341003,1.556037135706985
43,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,10.744494236334926,2.6823904543216326,7.6004023345004,5.010101818490112,1.6094379124341003,2.180417459019838
44,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10.859018228147887,2.658859956911438,7.494430215031565,4.927471052835487,1.6094379124341003,2.3135250330323798
45,2,11,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,10.968284492709508,2.7013612129514133,7.596392304064196,4.720282993088596,1.6094379124341003,1.4469189829363254
46,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,11.166257427370521,2.4203681286504293,7.898782356970309,5.098035484377089,1.9459101490553132,2.3933394562625097
47,3,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,11.225243392518447,3.1945831322991562,7.02108396428914,4.2626798770413155,1.6094379124341003,1.3480731482996928
48,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,11.235853571630463,2.806386101823072,7.823245690685523,4.653960350157523,1.791759469228055,1.7047480922384253
49,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,9.52134826973146,2.839663087904102,7.584773077612199,5.160950054755124,1.6094379124341003,3.064791809485486
50,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,10.858998997563564,3.131136910560194,7.129297548929373,4.30406509320417,1.6094379124341003,1.4469189829363254
51,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,10.87804719253426,2.8791984572980396,7.129297548929373,4.31748811353631,1.6094379124341003,1.1939224684724346
52,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,11.092092879730941,3.3463891451671604,7.129297548929373,4.30406509320417,1.6094379124341003,1.3480731482996928
53,1,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,10.896739325546411,2.9391619220655967,7.087573705557973,4.406719247264253,1.6094379124341003,1.2809338454620642
54,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10.571316925111784,2.7107133185216936,7.37650812632622,4.636668853047462,1.6094379124341003,1.3837912309017721
55,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9.713657880251851,3.2256528091472245,6.683360945766275,3.975936331171799,1.6094379124341003,1.1939224684724346
56,3,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,10.373491181781864,3.013572191682322,7.087573705557973,4.368181227851829,1.6094379124341003,0.7275486072772777
57,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,11.71023415157243,2.587011872725154,7.598399329323964,4.994505912166372,1.6094379124341003,2.0476928433652555
58,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,10.578979797857352,2.9014215940827497,6.905753276311464,4.206184043977636,1.6094379124341003,0.8109302162163288
59,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,9.998797732340453,2.615934912194404,7.780303087908373,4.995860008514102,2.0794415416798357,2.803360380906535
60,3,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,11.184421397998193,2.995732273553991,7.243512974665482,4.219507705176107,1.6094379124341003,1.0116009116784799
61,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,10.968198289528557,2.4630018143999504,7.493317248862145,5.225746673713202,1.6094379124341003,3.2846635654062037
62,2,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11.082142548877775,2.760009940032921,7.672292455628756,5.135798437050262,1.6094379124341003,2.302585092994046
63,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,12.089538829274222,3.2188758248682006,7.241366283322318,4.23410650459726,1.6094379124341003,0.9162907318741551
64,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,11.092306109090387,2.806386101823072,7.584773077612199,4.941642422609304,1.6094379124341003,2.6026896854443837
65,2,12,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.05089000537367,2.797281334830153,7.311218384419629,4.356708826689592,1.6094379124341003,0.6151856390902335
66,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,11.05089000537367,3.1994891110680106,7.129297548929373,4.483002552013883,1.9459101490553132,2.0980179272527715
67,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,9.472704636443673,3.095577608523707,7.241366283322318,4.485259889315534,1.6094379124341003,2.3513752571634776
68,3,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,11.198214720130528,2.1400661634962708,8.477620416296414,6.214608098422191,1.6094379124341003,2.6741486494265287
69,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,10.928255936745675,2.714694743820879,7.68662133494462,4.941642422609304,1.9459101490553132,2.2669579153508947
